Gene1	Gene2	Pair type
AAMDC	CRABP2	ME-scPGI
AAMDC	NME2	ME-scPGI
ABHD11	FILIP1L	ME-scPGI
ABHD11	MRPS24	ME-scPGI
ABHD11	PAM16	ME-scPGI
ACBD3	FILIP1L	ME-scPGI
ACBD6	NAPRT	ME-scPGI
ACBD6	QPRT	ME-scPGI
ACBD6	EEF1G	ME-scPGI
ADGRF1	ITGB8	ME-scPGI
ADGRF1	RAMP1	ME-scPGI
ADGRG1	ITGB8	ME-scPGI
ADGRG1	RAMP1	ME-scPGI
ADSS2	FILIP1L	ME-scPGI
AGAP3	FAM83A	ME-scPGI
AIMP2	CDCA7L	ME-scPGI
AIMP2	CDKN2A	ME-scPGI
AIMP2	COX16	ME-scPGI
AIMP2	EEF1G	ME-scPGI
AKT1S1	CXCL14	ME-scPGI
AMIGO2	EFNA4	ME-scPGI
AMIGO2	PODXL2	ME-scPGI
AMIGO2	SHC1	ME-scPGI
AMIGO2	VSTM2L	ME-scPGI
AMIGO2	WNT7B	ME-scPGI
ARFGAP1	CCZ1	ME-scPGI
ARFRP1	FAM83A	ME-scPGI
ARFRP1	FAM91A1	ME-scPGI
ARFRP1	PAM16	ME-scPGI
ARFRP1	TMEM150A	ME-scPGI
ARFRP1	TRAPPC5	ME-scPGI
BCL2L12	FAM83A	ME-scPGI
BET1L	YKT6	ME-scPGI
BIK	FAM83A	ME-scPGI
BIK	IGFBP3	ME-scPGI
BIK	PSMG3	ME-scPGI
BOK	CXCL14	ME-scPGI
BOK	FAM83A	ME-scPGI
BOP1	DDX56	ME-scPGI
BOP1	EXOSC4	ME-scPGI
BOP1	FAM83A	ME-scPGI
BOP1	PRPF6	ME-scPGI
BOP1	PSMG3	ME-scPGI
BOP1	RBBP8	ME-scPGI
BOP1	RHPN1	ME-scPGI
BOP1	UTP23	ME-scPGI
BRD7	CRABP2	ME-scPGI
C18orf32	CRABP2	ME-scPGI
C18orf32	GID8	ME-scPGI
C18orf32	NME2	ME-scPGI
C18orf32	SPINK1	ME-scPGI
C1orf35	NAPRT	ME-scPGI
C1orf35	NME2	ME-scPGI
CAVIN3	FAM83A	ME-scPGI
CCDC6	FAM83A	ME-scPGI
CCZ1	DNAJC5	ME-scPGI
CCZ1	PAM16	ME-scPGI
CCZ1	SCRN1	ME-scPGI
CCZ1	VPS41	ME-scPGI
CCZ1	ZFPL1	ME-scPGI
CDC34	IGFBP3	ME-scPGI
CDCA7L	CDKN1C	ME-scPGI
CDCA7L	CDKN2A	ME-scPGI
CDCA7L	CRIP2	ME-scPGI
CDCA7L	DHRSX	ME-scPGI
CDCA7L	FLAD1	ME-scPGI
CDCA7L	LDOC1	ME-scPGI
CDCA7L	MACC1	ME-scPGI
CDCA7L	MRPS17	ME-scPGI
CDCA7L	RP9	ME-scPGI
CDCA7L	SCRN1	ME-scPGI
CDCA7L	TLE1	ME-scPGI
CDCA7L	UTP23	ME-scPGI
CDCA7L	BCL10	ME-scPGI
CDCA7L	EEF1G	ME-scPGI
CDK2AP1	FILIP1L	ME-scPGI
CDK2AP1	TUBB2A	ME-scPGI
CDK2AP1	EEF1G	ME-scPGI
CDKN1C	MACC1	ME-scPGI
CDKN1C	MTA1	ME-scPGI
CDKN1C	TLE1	ME-scPGI
CDKN2A	IGFBP3	ME-scPGI
CDKN2A	LDOC1	ME-scPGI
CDKN2A	MCM7	ME-scPGI
CDKN2A	MTA1	ME-scPGI
CDKN2A	NELFB	ME-scPGI
CDKN2A	NFKBIL1	ME-scPGI
CDKN2A	NREP	ME-scPGI
CDKN2A	PES1	ME-scPGI
CDKN2A	PPP1R13L	ME-scPGI
CDKN2A	PXMP2	ME-scPGI
CDKN2A	RCC1	ME-scPGI
CDKN2A	THAP7	ME-scPGI
CDKN2A	TLE1	ME-scPGI
CDKN2A	TNFRSF21	ME-scPGI
CDKN2A	TBRG4	ME-scPGI
CDKN2A	BCL10	ME-scPGI
CEACAM5	PODXL2	ME-scPGI
CERS6	MUC16	ME-scPGI
CGN	FAM83A	ME-scPGI
CLDN12	VSTM2L	ME-scPGI
CORO2A	HOMER3	ME-scPGI
CRABP2	CXXC5	ME-scPGI
CRABP2	FAM83A	ME-scPGI
CRABP2	FEZ2	ME-scPGI
CRABP2	GFER	ME-scPGI
CRABP2	HES4	ME-scPGI
CRABP2	HRAS	ME-scPGI
CRABP2	JMJD8	ME-scPGI
CRABP2	LDOC1	ME-scPGI
CRABP2	MACC1	ME-scPGI
CRABP2	MTA1	ME-scPGI
CRABP2	MUC16	ME-scPGI
CRABP2	NR2F6	ME-scPGI
CRABP2	PSMD10	ME-scPGI
CRABP2	RPS6KA3	ME-scPGI
CRABP2	SIPA1	ME-scPGI
CRABP2	SNRNP25	ME-scPGI
CRABP2	TPD52L2	ME-scPGI
CRABP2	UNC93B1	ME-scPGI
CRABP2	CYREN	ME-scPGI
CSNK2A1	NME2	ME-scPGI
CSTF3	NTHL1	ME-scPGI
CSTF3	PRPF6	ME-scPGI
CSTF3	RPP21	ME-scPGI
CSTF3	EEF1G	ME-scPGI
CXCL14	FAM83A	ME-scPGI
CXCL14	HRAS	ME-scPGI
CXCL14	JMJD8	ME-scPGI
CXCL14	WNT7B	ME-scPGI
CYP51A1	FDX2	ME-scPGI
CYP51A1	FILIP1L	ME-scPGI
DCAF13	EXOSC4	ME-scPGI
DCAF13	PRPF6	ME-scPGI
DEAF1	FILIP1L	ME-scPGI
DIDO1	SLC2A4RG	ME-scPGI
DNAJC5	FAM83A	ME-scPGI
DNAJC5	FAM91A1	ME-scPGI
